,Margin,Most Common Choice,Study,Average Choice
Subj_1,1150,4,Fridberg,3.4
Subj_2,-675,4,Fridberg,2.568421052631579
Subj_3,-750,4,Fridberg,2.778947368421053
Subj_4,-525,4,Fridberg,2.8105263157894735
Subj_5,100,4,Fridberg,3.0210526315789474
Subj_6,1250,4,Fridberg,3.221052631578947
Subj_7,-150,4,Fridberg,2.663157894736842
Subj_8,150,4,Fridberg,2.9263157894736844
Subj_9,-575,4,Fridberg,2.8421052631578947
Subj_10,1475,4,Fridberg,3.357894736842105
Subj_11,-350,2,Fridberg,2.6210526315789475
Subj_12,-325,2,Fridberg,2.463157894736842
Subj_13,450,4,Fridberg,2.873684210526316
Subj_14,-425,2,Fridberg,2.6
Subj_15,450,4,Fridberg,2.957894736842105
